Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-06-03,25.28,1.11,0.24,41.75,31.62
2013-06-19,27.85,0.89,0.16,43.93,27.17
2013-08-22,43.78,1.84,9.81,24.26,20.31
2013-10-25,75.46,5.31,2.67,2.22,14.34
2013-11-10,75.74,5.93,2.78,1.8,13.76
2013-11-26,72.69,8.68,3.03,2.28,13.33
2013-12-12,67.59,7.7,6.38,2.76,15.57
2013-12-28,55.46,9.79,9.06,6.87,18.82
2014-01-13,49.23,6.13,6.07,14.22,24.35
2014-01-29,45.75,3.84,3.21,20.68,26.52
2014-02-14,38.69,2.98,1.24,25.68,31.41
2014-03-02,34.27,1.38,0.54,27.2,36.62
2014-03-18,31.12,0.57,0.12,35.14,33.05
2014-04-03,29.55,0.45,0.35,37.74,31.92
2014-04-19,28.86,0.4,0.31,28.06,42.37
2014-05-21,24.81,0.59,0.66,41.55,32.39
2014-06-06,26.26,0.49,0.33,45.68,27.23
2014-08-25,48.18,2.38,23.69,18.28,7.47
2014-09-26,63.07,5.29,12.4,5.88,13.36
2014-10-12,57.93,6.76,12.49,10.46,12.35
2014-10-28,68.25,6.98,6.31,4.34,14.12
2014-12-15,46.87,11.51,16.46,8.56,16.6
2014-12-31,43.37,6.56,11.98,12.99,25.1
2015-01-16,35.11,2.92,0.66,34.57,26.75
2015-02-01,39.11,3.35,0.46,28.63,28.45
2015-02-17,36.7,2.04,0.6,33.04,27.61
2015-03-05,31.04,1.31,0.03,37.58,30.04
2015-04-22,15.81,0.5,0.07,53.16,30.46
2015-05-08,26.81,0.55,0.71,40.16,31.77
2015-06-25,7.21,5,0,75.51,12.28
2015-07-11,29.97,1.31,0.4,44.57,23.74
2015-07-27,32.99,0.97,0.48,48.95,16.61
2015-08-12,44.3,3.1,16.32,27.62,8.66
2015-08-28,44.44,3.75,26.7,7.79,17.32
2015-09-13,49.83,9.8,19.69,8.28,12.4
2015-09-29,50.29,14,7.65,20.53,7.53
2015-10-15,66.28,7.38,7.63,6.93,11.78
2015-10-31,66.27,9.95,7.1,5.44,11.23
2015-11-16,61.96,13.02,8.63,3,13.39
2015-12-18,54.03,13.09,16.01,2.67,14.19
2016-02-04,37.48,3.96,6.54,28.18,23.83
2016-03-07,33.11,1.8,1.84,38.64,24.61
2016-04-08,28.38,0.99,0.43,53.85,16.35
2016-05-26,27.44,0.9,0.03,59.54,12.08
2016-07-13,29.04,0.57,0.33,48.83,21.23
2016-07-29,38.57,0.77,3.06,44.9,12.7
2016-08-14,52.09,2.06,20.01,13.62,12.22
2016-08-30,65.69,2.17,10.77,8.18,13.19
2016-10-01,73.64,6.28,3.88,5.39,10.81
2016-10-17,74.1,7.28,3.51,3.73,11.38
2016-11-02,70.1,5.69,9.22,2.45,12.53
2016-11-18,66.48,12.71,6.3,1.65,12.86
2016-12-04,62.5,11.34,11.03,2.17,12.96
2017-01-05,47.78,7.56,16.59,10.24,17.82
2017-02-06,32.93,3.34,0.01,41.38,22.34
2017-02-22,33.67,2.84,0.01,38.26,25.22
2017-03-10,32.59,1.13,0.22,34.68,31.38
2017-04-11,25.84,0.51,0.42,41.53,31.7
2017-04-27,25.54,0.37,0.45,44.62,29.02
2017-05-29,24.21,0.75,1.07,50.36,23.61
2017-06-30,31.19,0.79,0.91,42.62,24.48
2017-07-16,34.83,1.24,4.25,37.07,22.62
2017-08-01,40,2.19,15.81,22.8,19.2
2017-09-02,55.32,5.54,10.77,26.63,1.74
2017-09-18,51.37,12.73,9.11,13.49,13.29
2017-10-04,60.18,6.56,12.53,4.71,16.03
2017-10-20,59.66,6.79,13.79,4.91,14.85
2017-11-05,55.74,8.68,17.31,2.92,15.35
2017-11-21,42.14,8.34,27.82,5.81,15.89
2017-12-07,38.82,6.37,25.7,9.71,19.4
2017-12-23,35.94,5.65,12.18,21.28,24.95
2018-01-24,32.41,2.9,1.34,35.49,27.86
2018-02-09,30.72,2.16,0.36,42.58,24.19
2018-02-25,27.81,1.25,0.34,51.79,18.81
2018-03-29,24.3,0.79,0.54,41.74,32.63
2018-04-14,23.43,0.57,0.96,38.62,36.41
2018-04-30,20.96,0.46,0.76,36.24,41.57
2018-06-17,12.27,2.23,0,66.41,19.08
2018-07-03,19.4,0.88,0.3,68.77,10.65
2018-08-20,59.13,1.56,10.08,17.79,11.44
2018-09-05,64.68,2.67,9.34,13.74,9.57
2018-10-23,76,6.07,1.91,5.06,10.96
2018-11-08,71.42,5.6,2.73,4.48,15.77
2018-11-24,77.76,6.91,1.83,1.42,12.1
2018-12-10,77.73,6.43,2.19,1.37,12.29
2018-12-26,66.85,11.54,6.03,2.3,13.29
2019-01-11,60.68,10.36,7.89,5.53,15.53
2019-02-12,50.62,4.89,0.99,21.87,21.64
2019-03-16,23.6,1.42,0,51.55,23.44
2019-04-01,28.07,0.75,0,54.41,16.78
2019-04-17,27,1.16,0.47,33.74,37.63
2019-05-03,26.23,0.69,0.57,44.52,28
2019-05-19,8.26,-0.4,0.03,74.13,17.98
2019-06-04,27.53,0.51,0.44,37.87,33.66
2019-06-20,28.96,0.62,0.14,42.01,28.28
