Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-06-15 07:52:08.150795,96.13,1.85,0.5,0.84,0.67
2013-07-01 07:52:07.976413,94.12,2.52,0.5,1.18,1.68
2013-07-17 07:52:08.151962,89.92,2.69,0.34,2.69,4.37
2013-08-02 07:52:10.098924,86.72,1.85,0.34,6.72,4.37
2013-08-18 07:52:10.890935,81.18,2.86,0.17,9.58,6.22
2013-09-03 07:52:12.173735,74.96,3.36,0.17,5.88,15.63
2013-09-19 07:52:06.400338,64.37,4.2,0.0,21.18,10.25
2013-10-05 07:52:03.036765,52.77,6.72,0.0,17.98,22.52
2013-10-21 07:51:58.331414,39.83,8.07,0.0,23.19,28.91
2013-12-08 07:51:46.344857,12.1,0.84,0.0,73.11,13.95
2014-01-25 07:51:17.130913,81.01,4.87,7.06,6.55,0.5
2014-04-15 07:50:07.802132,67.39,13.11,7.73,2.86,8.91
2014-05-17 07:49:41.374226,42.02,30.92,6.22,16.13,4.71
2014-06-02 07:49:46.744610,52.61,15.13,1.51,23.53,7.23
2014-06-18 07:49:52.598464,53.11,9.24,0.34,30.42,6.89
2014-07-04 07:49:58.041658,47.06,7.06,0.0,34.45,11.43
2014-07-20 07:50:02.308300,38.66,7.23,0.0,47.06,7.06
2014-08-05 07:50:10.372338,22.86,5.38,0.0,58.82,12.94
2014-08-21 07:50:14.442009,7.73,3.19,0.0,53.45,35.63
2014-09-22 07:50:15.627020,0.17,0.17,0.0,24.87,74.79
2014-10-08 07:50:21.634348,0.0,0.17,0.0,55.63,44.2
2014-10-24 07:50:22.922396,0.5,0.0,0.0,83.7,15.8
2014-11-09 07:50:23.856198,0.0,0.0,0.0,75.46,24.54
2014-11-25 07:50:20.965742,0.0,0.0,0.0,61.85,38.15
2014-12-11 07:50:14.512932,0.0,0.0,2.02,70.59,27.39
2015-01-28 07:50:07.061490,93.11,4.87,0.67,0.0,1.34
2015-02-13 07:49:58.516367,90.25,6.05,3.19,0.17,0.34
2015-03-17 07:49:45.200590,87.23,4.37,2.52,2.18,3.7
2015-04-18 07:49:32.563636,91.93,5.21,1.18,0.34,1.34
2015-05-20 07:49:12.459698,86.55,3.53,3.7,1.01,5.21
2015-06-05 07:49:20.614214,83.53,2.86,4.03,5.55,4.03
2015-06-21 07:49:28.698699,75.63,4.71,1.51,12.1,6.05
2015-07-07 07:49:38.116935,74.79,4.2,0.67,16.47,3.87
2015-07-23 07:49:45.343779,68.74,5.21,0.0,18.15,7.9
2015-08-08 07:49:48.180806,66.72,2.52,0.0,21.68,9.08
2015-09-09 07:50:02.478251,47.73,5.04,0.0,28.07,19.16
2015-10-11 07:50:10.563673,8.91,4.03,0.0,52.1,34.96
2015-12-30 07:50:16.748302,67.23,3.03,9.75,15.13,4.87
2016-02-16 07:50:04.962792,92.27,6.55,0.84,0.34,0.0
2016-03-03 07:50:03.182265,70.25,15.97,11.76,1.68,0.34
2016-03-19 07:49:57.486096,85.21,12.94,1.51,0.17,0.17
2016-04-20 07:49:42.509413,64.54,27.23,4.71,2.18,1.34
2016-05-06 07:49:45.803876,74.62,20.0,4.87,0.17,0.34
2016-06-07 07:49:50.816600,65.38,26.89,5.71,0.34,1.68
2016-06-23 07:49:56.059698,72.27,18.15,4.2,4.03,1.34
2016-07-09 07:50:04.599363,75.13,11.93,4.87,6.55,1.51
2016-07-25 07:50:09.696739,69.92,11.93,3.87,10.42,3.87
2016-08-10 07:50:11.601173,70.76,8.57,4.71,15.13,0.84
2016-09-11 07:50:23.221811,61.68,4.2,4.03,27.73,2.35
2016-09-27 07:50:23.622881,51.93,6.72,2.18,36.47,2.69
2016-10-13 07:50:29.014527,42.02,7.23,4.37,42.35,4.03
2016-10-29 07:50:30.852675,26.89,6.22,1.18,53.61,12.1
2016-11-30 07:50:29.776894,0.84,0.17,0.0,57.31,41.68
2017-01-17 07:50:18.653007,47.06,2.69,11.09,34.62,4.54
2017-02-02 07:50:11.695014,58.49,4.71,13.11,22.86,0.84
2017-02-18 07:50:05.187439,33.78,9.75,30.25,18.32,7.9
2017-03-06 07:49:58.482453,75.8,5.21,16.13,2.02,0.84
2017-03-22 07:49:48.258453,69.58,15.63,10.92,2.86,1.01
2017-06-10 07:49:50.223968,51.09,14.79,12.94,17.14,4.03
2017-06-26 07:49:55.418906,55.29,7.23,4.87,30.92,1.68
2017-07-12 07:49:58.131585,49.24,5.38,0.34,42.18,2.86
2017-07-28 07:50:05.931049,39.33,5.71,0.17,48.91,5.88
2017-08-13 07:50:12.088450,20.5,4.37,0.17,65.55,9.41
2017-08-29 07:50:15.727495,3.03,2.35,0.0,54.45,40.17
2017-09-14 07:50:16.054608,0.5,0.0,0.0,47.73,51.76
2017-09-30 07:50:23.560819,0.0,0.0,0.0,52.27,47.73
2017-10-16 07:50:27.434052,0.0,0.0,0.0,53.28,46.72
2017-11-17 07:50:23.929751,0.0,0.0,0.0,32.27,67.73
2018-01-04 07:50:17.797336,0.0,100.0,0.0,0.0,0.0
2018-02-05 07:50:01.295379,62.18,6.55,22.35,4.54,4.37
2018-03-09 07:49:47.368651,40.84,18.82,23.87,14.62,1.85
2018-03-25 07:49:39.780826,60.5,7.56,22.18,7.23,2.52
2018-05-12 07:49:12.725755,54.12,23.87,14.79,4.2,3.03
2018-05-28 07:49:00.165768,44.71,25.55,16.64,6.05,7.06
2018-06-13 07:49:01.907849,40.34,25.21,17.98,9.92,6.55
2018-06-29 07:49:12.128021,56.13,6.22,10.42,20.84,6.39
2018-07-15 07:49:19.947521,53.95,6.05,5.38,23.7,10.92
